id,web_name,team,element_type,gw_current,gw_next,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,points_per_game,form,ep_this,ep_next,position,team_name,value
1,Balogun,1,4,21,22,0.2,44,0,10024,0.0,0,0.0,0.0,0.0,0.0,FWD,Arsenal,0.0
2,Cédric,1,2,21,22,0.4,39,0,35263,0.0,0,0.0,0.0,0.5,0.5,DEF,Arsenal,0.0
3,M.Elneny,1,3,21,22,0.1,44,1,12812,0.9,4,4.0,0.0,0.0,0.0,MID,Arsenal,0.9
4,Fábio Vieira,1,3,21,22,0.1,54,236,11478,3.9,21,2.6,0.0,0.2,0.2,MID,Arsenal,3.9
5,Gabriel,1,2,21,22,18.2,50,1544,1567709,15.0,75,3.9,7.2,7.7,5.8,DEF,Arsenal,15.0
6,Havertz,1,3,21,22,1.6,71,1236,94208,7.7,55,2.8,1.5,2.0,2.0,MID,Arsenal,7.7
8,G.Jesus,1,4,21,22,4.3,80,1014,981962,6.6,53,3.3,2.2,2.0,2.7,FWD,Arsenal,6.6
9,Jorginho,1,3,21,22,0.2,53,400,9143,3.6,19,1.6,1.0,1.5,1.5,MID,Arsenal,3.6
10,Kiwior,1,2,21,22,0.1,43,301,5364,3.3,14,1.6,0.5,1.0,1.0,DEF,Arsenal,3.3
11,Marquinhos,1,3,21,22,0.0,45,0,819,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
12,Martinelli,1,3,21,22,5.6,77,1306,979376,9.2,71,3.7,5.8,6.3,6.3,MID,Arsenal,9.2
13,Nketiah,1,4,21,22,4.2,53,967,1550068,12.1,64,3.2,1.8,2.3,2.3,FWD,Arsenal,12.1
14,Ødegaard,1,3,21,22,17.3,85,1599,1849519,10.1,86,4.8,3.8,4.3,4.3,MID,Arsenal,10.1
15,Thomas,1,3,21,22,0.1,48,250,8586,1.5,7,1.8,0.0,0.0,0.0,MID,Arsenal,1.5
16,Pepe,1,3,21,22,0.0,49,0,667,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
17,Ramsdale,1,1,21,22,6.1,46,450,264345,3.7,17,3.4,0.0,0.5,0.5,GKP,Arsenal,3.7
18,Rúnarsson,1,1,21,22,0.1,40,0,990,0.0,0,0.0,0.0,0.0,0.0,GKP,Arsenal,0.0
19,Saka,1,3,21,22,62.4,91,1753,4547735,12.1,110,5.5,3.2,3.7,3.7,MID,Arsenal,12.1
20,Saliba,1,2,21,22,37.4,56,1890,3536194,14.5,81,3.9,2.2,2.7,2.7,DEF,Arsenal,14.5
22,Smith Rowe,1,3,21,22,0.1,53,137,5214,2.3,12,1.7,0.5,1.0,1.0,MID,Arsenal,2.3
24,Tierney,1,2,21,22,0.1,44,0,2665,0.0,0,0.0,0.0,0.0,0.0,DEF,Arsenal,0.0
25,Tomiyasu,1,2,21,22,0.3,45,628,79464,8.7,39,3.0,0.2,0.0,0.0,DEF,Arsenal,8.7
26,Trossard,1,3,21,22,1.7,65,725,298090,8.5,55,3.2,3.0,3.5,3.5,MID,Arsenal,8.5
29,White,1,2,21,22,11.0,56,1565,1422189,13.4,75,3.8,2.2,2.7,2.7,DEF,Arsenal,13.4
30,Xhaka,1,3,21,22,0.0,60,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
31,Zinchenko,1,2,21,22,10.4,52,1292,1459873,14.8,77,4.1,2.2,2.0,2.7,DEF,Arsenal,14.8
113,Raya,1,1,21,22,6.3,49,1440,786871,12.9,63,3.9,4.2,4.7,4.7,GKP,Arsenal,12.9
540,Rice,1,3,21,22,5.0,54,1815,488893,13.9,75,3.6,2.8,3.3,2.5,MID,Arsenal,13.9
578,Nelson,1,3,21,22,0.0,48,102,6340,1.7,8,0.9,0.2,0.7,0.7,MID,Arsenal,1.7
585,J.Timber,1,2,21,22,0.4,46,49,12334,0.0,0,0.0,0.0,0.0,0.0,DEF,Arsenal,0.0
646,Hein,1,1,21,22,0.1,40,0,4583,0.0,0,0.0,0.0,0.5,0.5,GKP,Arsenal,0.0
735,Sagoe,1,3,21,22,0.0,45,0,596,0.0,0,0.0,0.0,0.5,0.5,MID,Arsenal,0.0
736,Walters,1,2,21,22,0.0,40,0,2526,0.0,0,0.0,0.0,0.5,0.5,DEF,Arsenal,0.0
737,Ibrahim,1,3,21,22,0.0,45,0,522,0.0,0,0.0,0.0,0.5,0.5,MID,Arsenal,0.0
764,Lewis-Skelly,1,3,21,22,0.0,45,0,42,0.0,0,0.0,0.0,0.5,0.5,MID,Arsenal,0.0
772,Nwaneri,1,3,21,22,0.0,45,0,35,0.0,0,0.0,0.0,0.5,0.5,MID,Arsenal,0.0
32,Alex Moreno,2,2,21,22,1.5,50,355,209518,4.4,22,2.8,2.7,2.7,2.2,DEF,Aston Villa,4.4
34,Bailey,2,3,21,22,3.9,57,922,711329,13.5,77,4.1,4.3,4.3,3.8,MID,Aston Villa,13.5
35,Buendia,2,3,21,22,0.0,57,0,747,0.0,0,0.0,0.0,0.0,0.0,MID,Aston Villa,0.0
36,Cash,2,2,21,22,17.0,47,1278,3747354,10.9,51,2.8,0.3,0.3,-0.2,DEF,Aston Villa,10.9
37,Chambers,2,2,21,22,0.9,39,0,50411,0.0,0,0.0,0.0,0.0,-0.5,DEF,Aston Villa,0.0
38,Coutinho,2,3,21,22,0.2,58,24,4781,0.3,2,1.0,0.0,0.0,0.0,MID,Aston Villa,0.3
39,Davis,2,4,21,22,0.1,49,0,4950,0.0,0,0.0,0.0,0.0,0.0,FWD,Aston Villa,0.0
40,Dendoncker,2,3,21,22,0.0,49,118,3853,4.1,20,2.5,4.7,4.7,4.2,MID,Aston Villa,4.1
41,Diego Carlos,2,2,21,22,0.7,44,976,85746,7.0,31,2.1,2.0,2.0,1.5,DEF,Aston Villa,7.0
42,Digne,2,2,21,22,3.1,46,1521,985245,12.2,56,3.1,0.3,0.0,0.0,DEF,Aston Villa,12.2
43,Douglas Luiz,2,3,21,22,10.1,56,1743,2089576,17.3,97,4.8,5.0,5.0,4.5,MID,Aston Villa,17.3
44,Duran,2,4,21,22,0.2,50,174,50684,4.8,24,1.7,2.0,2.0,1.5,FWD,Aston Villa,4.8
45,Hause,2,2,21,22,0.2,39,0,13082,0.0,0,0.0,0.0,0.0,-0.5,DEF,Aston Villa,0.0
46,Iroegbunam,2,3,21,22,0.0,44,4,1539,0.2,1,1.0,0.3,0.3,-0.2,MID,Aston Villa,0.2
47,Kamara,2,3,21,22,0.1,50,1437,14537,6.8,34,2.0,1.0,1.0,0.5,MID,Aston Villa,6.8
48,Konsa,2,2,21,22,3.2,46,1848,388115,12.4,57,2.7,2.0,2.0,1.5,DEF,Aston Villa,12.4
49,Martinez,2,1,21,22,12.2,52,1800,1150834,13.5,70,3.5,4.0,4.0,3.5,GKP,Aston Villa,13.5
50,McGinn,2,3,21,22,1.9,56,1794,299768,14.5,81,3.9,3.7,3.7,3.2,MID,Aston Villa,14.5
51,Mings,2,2,21,22,1.2,41,30,10257,0.0,0,0.0,0.0,0.0,0.0,DEF,Aston Villa,0.0
53,Olsen,2,1,21,22,0.6,39,90,25480,0.5,2,2.0,0.0,0.0,-0.5,GKP,Aston Villa,0.5
54,Philogene,2,3,21,22,0.1,45,3,3755,0.2,1,1.0,0.0,0.0,0.0,MID,Aston Villa,0.2
55,J.Ramsey,2,3,21,22,0.1,59,478,16620,2.9,17,1.7,0.7,0.7,0.1,MID,Aston Villa,2.9
56,Sanson,2,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Aston Villa,0.0
57,Sinisalo,2,1,21,22,0.0,40,0,0,0.0,0,0.0,0.0,0.0,0.0,GKP,Aston Villa,0.0
58,Tielemans,2,3,21,22,0.4,56,581,22803,5.2,29,1.7,0.0,0.0,-0.5,MID,Aston Villa,5.2
59,Bertrand Traoré,2,3,21,22,0.0,50,10,1452,0.4,2,1.0,0.0,0.0,0.0,MID,Aston Villa,0.4
60,Watkins,2,4,21,22,55.9,89,1849,6282103,13.6,121,5.8,3.7,3.7,3.2,FWD,Aston Villa,13.6
61,Wesley,2,4,21,22,0.0,50,0,0,0.0,0,0.0,0.0,0.0,0.0,FWD,Aston Villa,0.0
584,Pau,2,2,21,22,4.8,47,1517,848341,13.0,61,3.4,0.3,0.2,-0.2,DEF,Aston Villa,13.0
599,Diaby,2,3,21,22,9.2,66,1349,2334128,13.3,88,4.2,3.7,3.7,3.2,MID,Aston Villa,13.3
618,Kellyman,2,3,21,22,0.1,45,0,6942,0.0,0,0.0,0.0,0.0,-0.5,MID,Aston Villa,0.0
670,Marschall,2,1,21,22,0.0,40,0,3154,0.0,0,0.0,0.0,0.0,-0.5,GKP,Aston Villa,0.0
672,Zaniolo,2,3,21,22,0.1,54,498,12977,3.3,18,1.3,0.7,0.7,0.2,MID,Aston Villa,3.3
686,Zych,2,1,21,22,0.1,40,0,6697,0.0,0,0.0,0.0,0.0,0.0,GKP,Aston Villa,0.0
699,Lenglet,2,2,21,22,0.1,45,331,16791,2.9,13,3.2,3.7,3.7,3.2,DEF,Aston Villa,2.9
765,Proctor,2,1,21,22,0.0,40,0,188,0.0,0,0.0,0.0,0.0,-0.5,GKP,Aston Villa,0.0
767,O'Reilly,2,3,21,22,0.0,45,0,139,0.0,0,0.0,0.0,0.0,-0.5,MID,Aston Villa,0.0
778,Wright,2,1,21,22,0.0,40,0,19,0.0,0,0.0,0.0,1.6,1.1,GKP,Aston Villa,0.0
62,Anthony,3,3,21,22,0.0,49,151,1618,0.6,3,1.0,0.0,0.0,0.0,MID,Bournemouth,0.6
63,Billing,3,3,21,22,0.4,52,1168,63935,9.8,51,2.7,2.0,1.5,2.0,MID,Bournemouth,9.8
64,Brooks,3,3,21,22,0.1,47,271,9379,4.9,23,1.8,1.8,1.3,1.8,MID,Bournemouth,4.9
65,Christie,3,3,21,22,0.1,50,1570,19940,9.8,49,2.5,2.0,1.5,2.0,MID,Bournemouth,9.8
66,L.Cook,3,3,21,22,0.0,50,1171,2663,6.2,31,2.1,1.0,0.5,1.0,MID,Bournemouth,6.2
67,Siriki,3,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Bournemouth,0.0
68,Fredericks,3,2,21,22,0.0,43,0,747,0.0,0,0.0,0.0,0.0,0.0,DEF,Bournemouth,0.0
69,Hill,3,2,21,22,0.1,40,69,6669,0.5,2,1.0,0.2,0.0,0.0,DEF,Bournemouth,0.5
70,Kelly,3,2,21,22,0.0,45,716,10956,4.4,20,2.0,0.0,0.0,0.0,DEF,Bournemouth,4.4
71,Kilkenny,3,3,21,22,0.1,43,0,8072,0.0,0,0.0,0.0,-0.5,0.0,MID,Bournemouth,0.0
72,Kluivert,3,3,21,22,0.4,46,872,59635,8.9,41,2.6,2.8,2.3,2.8,MID,Bournemouth,8.9
73,Lowe,3,3,21,22,0.0,49,0,81,0.0,0,0.0,0.0,0.0,0.0,MID,Bournemouth,0.0
74,Marcondes,3,3,21,22,0.0,43,0,9454,0.0,0,0.0,0.0,-0.5,0.0,MID,Bournemouth,0.0
75,Mepham,3,2,21,22,0.1,43,265,2251,0.9,4,0.7,0.0,-0.5,0.0,DEF,Bournemouth,0.9
76,Moore,3,4,21,22,0.2,46,100,19742,3.0,14,1.8,0.5,0.0,0.5,FWD,Bournemouth,3.0
77,Neto,3,1,21,22,3.5,46,1620,501218,15.2,70,3.9,3.2,2.7,3.2,GKP,Bournemouth,15.2
78,O.Dango,3,3,21,22,0.0,47,451,1147,3.4,16,1.2,1.5,0.0,0.0,MID,Bournemouth,3.4
79,Pearson,3,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Bournemouth,0.0
80,Randolph,3,1,21,22,0.4,40,0,8595,0.0,0,0.0,0.0,-0.5,0.0,GKP,Bournemouth,0.0
81,Rothwell,3,3,21,22,0.0,48,380,836,2.7,13,1.2,0.2,-0.3,0.0,MID,Bournemouth,2.7
82,Semenyo,3,4,21,22,2.1,45,843,698283,10.4,47,2.9,1.8,0.0,0.0,FWD,Bournemouth,10.4
83,Senesi,3,2,21,22,3.2,45,1205,646065,12.4,56,3.3,2.8,0.0,0.0,DEF,Bournemouth,12.4
84,Smith,3,2,21,22,0.2,44,740,21365,7.5,33,3.0,2.8,2.3,2.8,DEF,Bournemouth,7.5
85,Solanke,3,4,21,22,27.6,71,1777,3576751,14.1,100,5.0,6.8,6.3,6.8,FWD,Bournemouth,14.1
86,Tavernier,3,3,21,22,0.7,54,1260,183539,11.5,62,3.6,3.2,2.7,3.2,MID,Bournemouth,11.5
87,Hamed Traorè,3,3,21,22,0.0,47,44,619,0.6,3,1.0,0.0,0.0,0.0,MID,Bournemouth,0.6
88,Travers,3,1,21,22,0.1,40,0,548,0.0,0,0.0,0.0,-0.5,0.0,GKP,Bournemouth,0.0
89,Zabarnyi,3,2,21,22,0.2,44,1800,35538,9.5,42,2.1,2.2,1.7,2.2,DEF,Bournemouth,9.5
595,Kerkez,3,2,21,22,0.2,44,1160,36087,7.0,31,2.1,0.0,0.0,0.0,DEF,Bournemouth,7.0
607,Radu,3,1,21,22,0.1,44,180,5212,0.5,2,1.0,0.0,-0.5,0.0,GKP,Bournemouth,0.5
619,Greenwood,3,2,21,22,0.2,40,0,14460,0.0,0,0.0,0.0,-0.5,0.0,DEF,Bournemouth,0.0
643,Aarons,3,2,21,22,0.1,44,1084,29115,5.2,23,1.6,0.0,-0.5,0.0,DEF,Bournemouth,5.2
644,Scott,3,3,21,22,0.0,49,376,4275,3.9,19,2.7,4.0,3.5,4.0,MID,Bournemouth,3.9
673,Adams,3,3,21,22,0.0,49,0,652,0.0,0,0.0,0.0,0.0,0.0,MID,Bournemouth,0.0
705,Sinisterra,3,3,21,22,0.0,55,412,6797,5.3,29,2.2,2.5,2.0,2.5,MID,Bournemouth,5.3
90,Ajer,4,2,21,22,0.2,44,724,42488,5.2,23,1.9,0.3,0.1,0.3,DEF,Brentford,5.2
91,Balcombe,4,1,21,22,0.2,39,0,9568,0.0,0,0.0,0.0,0.0,0.0,GKP,Brentford,0.0
92,Baptiste,4,3,21,22,1.0,43,204,108444,3.0,13,2.2,0.3,0.3,0.3,MID,Brentford,3.0
93,Bech,4,2,21,22,0.1,40,0,2309,0.0,0,0.0,0.0,0.0,0.0,DEF,Brentford,0.0
94,Bidstrup,4,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Brentford,0.0
95,Canós,4,3,21,22,0.0,50,0,292,0.0,0,0.0,0.0,0.0,0.0,MID,Brentford,0.0
96,Collins,4,2,21,22,0.4,45,1283,108260,9.3,42,2.6,0.7,0.7,0.7,DEF,Brentford,9.3
97,Cox,4,1,21,22,0.0,40,0,0,0.0,0,0.0,0.0,0.0,0.0,GKP,Brentford,0.0
98,Damsgaard,4,3,21,22,0.0,48,306,1849,2.9,14,1.8,2.3,2.3,2.3,MID,Brentford,2.9
99,Dasilva,4,3,21,22,0.0,47,10,984,0.4,2,1.0,0.3,0.3,0.3,MID,Brentford,0.4
100,Dervişoğlu,4,4,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,FWD,Brentford,0.0
101,Flekken,4,1,21,22,2.5,45,1665,467933,10.9,49,2.6,1.0,1.0,1.0,GKP,Brentford,10.9
102,Goode,4,2,21,22,0.2,39,0,21233,0.0,0,0.0,0.0,0.0,0.0,DEF,Brentford,0.0
103,Henry,4,2,21,22,0.9,43,401,560007,3.0,13,2.6,0.0,0.0,0.0,DEF,Brentford,3.0
104,Hickey,4,2,21,22,0.1,44,713,23290,3.9,17,1.9,0.0,0.0,0.0,DEF,Brentford,3.9
105,Janelt,4,3,21,22,0.1,53,1635,10695,8.9,47,2.4,2.0,2.0,2.0,MID,Brentford,8.9
106,Jensen,4,3,21,22,0.8,54,1080,449516,12.2,66,4.4,2.7,2.7,2.7,MID,Brentford,12.2
107,Lewis-Potter,4,3,21,22,0.1,47,661,13784,7.7,36,2.6,3.7,3.7,3.7,MID,Brentford,7.7
108,Mbeumo,4,3,21,22,6.6,68,1286,4623962,12.8,87,5.8,0.0,0.0,0.0,MID,Brentford,12.8
109,Mee,4,2,21,22,1.5,48,762,190880,6.0,29,2.9,2.3,2.3,2.3,DEF,Brentford,6.0
110,Nørgaard,4,3,21,22,0.1,54,1546,20407,7.8,42,2.3,1.0,0.8,0.8,MID,Brentford,7.8
111,Onyeka,4,3,21,22,0.0,49,732,2689,4.1,20,1.2,0.3,0.0,0.0,MID,Brentford,4.1
112,Pinnock,4,2,21,22,3.4,46,1800,570740,11.1,51,2.5,0.7,0.7,0.7,DEF,Brentford,11.1
114,Roerslev,4,2,21,22,0.1,44,817,8295,6.4,28,1.8,3.0,3.0,3.0,DEF,Brentford,6.4
115,Schade,4,3,21,22,0.1,52,255,18637,3.7,19,3.8,0.0,0.0,0.0,MID,Brentford,3.7
116,Strakosha,4,1,21,22,1.9,39,135,273401,1.0,4,2.0,0.0,0.0,0.0,GKP,Brentford,1.0
117,Toney,4,4,21,22,3.5,80,90,403073,1.0,8,8.0,2.7,2.7,2.7,FWD,Brentford,1.0
118,Trevitt,4,3,21,22,0.0,45,0,236,0.0,0,0.0,0.0,0.0,0.0,MID,Brentford,0.0
119,Wissa,4,4,21,22,4.8,57,1543,2016398,11.4,65,3.4,3.0,0.0,0.0,FWD,Brentford,11.4
120,Yarmoliuk,4,3,21,22,0.6,43,346,56733,3.5,15,1.2,1.0,1.0,1.0,MID,Brentford,3.5
121,Zanka,4,2,21,22,0.1,43,187,2374,0.9,4,1.0,0.3,0.3,0.3,DEF,Brentford,0.9
258,Maupay,4,4,21,22,1.0,49,872,186319,9.6,47,2.8,4.0,4.0,4.0,FWD,Brentford,9.6
508,Reguilón,4,2,21,22,0.3,44,425,154572,4.3,19,1.9,0.8,0.8,0.0,DEF,Brentford,4.3
620,Olakigbe,4,3,21,22,0.0,45,51,3338,1.8,8,1.0,0.7,0.7,0.7,MID,Brentford,1.8
684,Brierley,4,3,21,22,0.0,45,0,1729,0.0,0,0.0,0.0,0.0,0.0,MID,Brentford,0.0
701,Ghoddos,4,3,21,22,0.0,45,691,13136,4.7,21,1.5,1.0,0.0,0.0,MID,Brentford,4.7
725,Kim Ji-Soo,4,2,21,22,0.0,40,0,3174,0.0,0,0.0,0.0,0.0,0.0,DEF,Brentford,0.0
733,Adedokun,4,2,21,22,0.0,40,0,2505,0.0,0,0.0,0.0,0.0,0.0,DEF,Brentford,0.0
744,Peart-Harris,4,3,21,22,0.0,45,11,198,0.7,3,1.0,0.3,0.3,0.3,MID,Brentford,0.7
752,Angelini,4,1,21,22,0.0,40,0,676,0.0,0,0.0,0.0,0.0,0.0,GKP,Brentford,0.0
122,Adingra,5,3,21,22,0.4,50,1139,247947,11.2,56,3.3,0.0,0.0,0.0,MID,Brighton,11.2
123,Alzate,5,3,21,22,0.0,44,0,2752,0.0,0,0.0,0.0,0.0,0.0,MID,Brighton,0.0
124,Ayari,5,3,21,22,0.0,45,0,483,0.0,0,0.0,0.0,0.0,0.0,MID,Brighton,0.0
125,Buonanotte,5,3,21,22,0.0,47,500,5684,4.3,20,1.7,1.0,1.0,1.5,MID,Brighton,4.3
127,Connolly,5,4,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,FWD,Brighton,0.0
128,Dahoud,5,3,21,22,0.1,48,449,8495,2.9,14,1.6,0.0,0.0,0.5,MID,Brighton,2.9
129,Dunk,5,2,21,22,2.8,50,1416,375745,4.6,23,1.4,0.0,0.0,0.5,DEF,Brighton,4.6
130,Enciso,5,3,21,22,0.4,50,68,46653,1.6,8,4.0,0.0,0.0,0.0,MID,Brighton,1.6
131,Estupiñan,5,2,21,22,26.2,51,630,3247193,7.3,37,4.6,4.0,4.0,4.5,DEF,Brighton,7.3
132,Ferguson,5,4,21,22,5.2,59,957,1284986,9.7,57,3.2,1.7,1.7,2.2,FWD,Brighton,9.7
133,Gilmour,5,3,21,22,0.3,49,1275,84913,9.0,44,2.3,1.7,1.7,2.2,MID,Brighton,9.0
134,Gross,5,3,21,22,6.6,65,1551,905727,12.6,82,4.6,1.7,1.7,2.2,MID,Brighton,12.6
135,João Pedro,5,4,21,22,13.7,55,1138,1893035,12.9,71,3.5,6.0,6.0,6.5,FWD,Brighton,12.9
136,Karbownik,5,2,21,22,0.0,40,0,0,0.0,0,0.0,0.0,0.0,0.0,DEF,Brighton,0.0
137,Kozłowski,5,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Brighton,0.0
138,Lallana,5,3,21,22,0.0,49,496,4792,3.7,18,1.3,0.7,0.7,1.2,MID,Brighton,3.7
139,Lamptey,5,2,21,22,3.8,39,171,676048,2.3,9,1.8,0.0,0.0,0.0,DEF,Brighton,2.3
140,March,5,3,21,22,2.2,61,555,1021650,6.4,39,5.6,0.0,0.0,0.0,MID,Brighton,6.4
141,McGill,5,1,21,22,0.3,39,0,19648,0.0,0,0.0,0.0,0.0,0.5,GKP,Brighton,0.0
142,Milner,5,3,21,22,0.1,48,679,8634,5.0,24,1.8,3.0,3.0,3.5,MID,Brighton,5.0
143,Mitoma,5,3,21,22,14.3,64,1320,2897366,9.8,63,3.7,0.0,0.0,0.0,MID,Brighton,9.8
144,Moder,5,3,21,22,0.1,44,63,7064,0.9,4,0.8,0.3,0.3,0.8,MID,Brighton,0.9
146,Sarmiento,5,3,21,22,0.0,45,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Brighton,0.0
147,Scherpen,5,1,21,22,0.0,40,0,0,0.0,0,0.0,0.0,0.0,0.0,GKP,Brighton,0.0
148,Steele,5,1,21,22,2.0,42,990,150989,6.4,27,2.5,3.0,3.0,3.5,GKP,Brighton,6.4
149,Undav,5,4,21,22,0.0,55,0,0,0.0,0,0.0,0.0,0.0,0.0,FWD,Brighton,0.0
150,Van Hecke,5,2,21,22,2.2,40,1198,311929,7.2,29,1.9,3.0,3.0,3.5,DEF,Brighton,7.2
151,Veltman,5,2,21,22,0.5,43,908,98661,4.7,20,1.2,0.0,0.0,0.0,DEF,Brighton,4.7
152,Verbruggen,5,1,21,22,0.4,44,810,36068,4.5,20,2.2,0.0,0.0,0.5,GKP,Brighton,4.5
153,Webster,5,2,21,22,0.2,42,613,17696,2.6,11,1.6,2.0,2.0,2.5,DEF,Brighton,2.6
154,Welbeck,5,4,21,22,0.7,57,597,89052,5.4,31,2.6,2.3,2.3,2.8,FWD,Brighton,5.4
155,Zeqiri,5,4,21,22,0.5,44,0,25876,0.0,0,0.0,0.0,0.0,0.0,FWD,Brighton,0.0
606,Igor,5,2,21,22,0.1,43,702,17779,3.0,13,1.2,0.3,0.1,0.4,DEF,Brighton,3.0
621,Hinshelwood,5,3,21,22,0.1,45,616,20635,6.7,30,3.3,4.0,4.0,4.5,MID,Brighton,6.7
690,Baleba,5,3,21,22,0.1,45,550,16387,2.9,13,1.1,0.3,0.3,0.8,MID,Brighton,2.9
700,Ansu Fati,5,3,21,22,0.3,64,286,178037,3.3,21,2.3,0.0,0.0,0.0,MID,Brighton,3.3
741,O’Mahony,5,4,21,22,0.0,45,0,3522,0.0,0,0.0,0.0,0.0,0.5,FWD,Brighton,0.0
742,Baker-Boaitey,5,3,21,22,0.0,45,12,562,0.4,2,1.0,0.0,0.0,0.5,MID,Brighton,0.4
746,Jackson,5,2,21,22,0.0,40,0,2354,0.0,0,0.0,0.0,0.0,0.5,DEF,Brighton,0.0
747,Duffus,5,3,21,22,0.0,44,0,335,0.0,0,0.0,0.0,0.0,0.5,MID,Brighton,0.0
753,Kavanagh,5,2,21,22,0.0,40,0,530,0.0,0,0.0,0.0,0.0,0.5,DEF,Brighton,0.0
755,Barrington,5,3,21,22,0.0,45,0,199,0.0,0,0.0,0.0,0.0,0.5,MID,Brighton,0.0
156,Agyei,6,3,21,22,0.2,42,0,33872,0.0,0,0.0,0.0,0.5,-1.0,MID,Burnley,0.0
157,Al-Dakhil,6,2,21,22,0.8,38,965,135193,3.2,12,1.0,0.5,1.0,-0.5,DEF,Burnley,3.2
158,Bastien,6,3,21,22,0.0,49,0,326,0.0,0,0.0,0.0,0.0,0.0,MID,Burnley,0.0
