id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,ranked_count,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2023-08-11T17:30:00Z,64,True,True,3383750.0,1691775000,0,127.0,False,False,False,False,False,0,"[{'chip_name': 'bboost', 'num_played': 163222}, {'chip_name': '3xc', 'num_played': 287198}]",355.0,1.0,395.0,"{'id': 395, 'points': 14}",0,355.0,19.0
2,Gameweek 2,2023-08-18T17:15:00Z,44,True,True,3338487.0,1692378900,0,120.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 126778}, {'chip_name': 'freehit', 'num_played': 112568}, {'chip_name': 'wildcard', 'num_played': 244166}, {'chip_name': '3xc', 'num_played': 213828}]",355.0,195.0,108.0,"{'id': 108, 'points': 16}",13130353,355.0,19.0
3,Gameweek 3,2023-08-25T17:30:00Z,44,True,True,9368956.0,1692984600,0,128.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 124110}, {'chip_name': 'freehit', 'num_played': 111065}, {'chip_name': 'wildcard', 'num_played': 445328}, {'chip_name': '3xc', 'num_played': 245013}]",355.0,108.0,216.0,"{'id': 216, 'points': 19}",17619532,355.0,19.0
4,Gameweek 4,2023-09-01T17:30:00Z,72,True,True,4354697.0,1693589400,0,148.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 109196}, {'chip_name': 'freehit', 'num_played': 119294}, {'chip_name': 'wildcard', 'num_played': 406918}, {'chip_name': '3xc', 'num_played': 164388}]",355.0,216.0,516.0,"{'id': 516, 'points': 20}",16035365,355.0,19.0
5,Gameweek 5,2023-09-16T10:00:00Z,44,True,True,6211182.0,1694858400,0,102.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 96469}, {'chip_name': 'freehit', 'num_played': 81067}, {'chip_name': 'wildcard', 'num_played': 387941}, {'chip_name': '3xc', 'num_played': 123443}]",355.0,516.0,344.0,"{'id': 344, 'points': 13}",14363988,355.0,19.0
6,Gameweek 6,2023-09-23T12:30:00Z,68,True,True,4494759.0,1695472200,0,142.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 78528}, {'chip_name': 'freehit', 'num_played': 60517}, {'chip_name': 'wildcard', 'num_played': 283333}, {'chip_name': '3xc', 'num_played': 192955}]",355.0,343.0,430.0,"{'id': 430, 'points': 18}",12109066,355.0,308.0
7,Gameweek 7,2023-09-30T10:00:00Z,49,True,True,9335002.0,1696068000,0,156.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 79672}, {'chip_name': 'freehit', 'num_played': 141888}, {'chip_name': 'wildcard', 'num_played': 380176}, {'chip_name': '3xc', 'num_played': 90244}]",355.0,430.0,60.0,"{'id': 60, 'points': 23}",15579302,355.0,308.0
8,Gameweek 8,2023-10-07T10:00:00Z,44,True,True,10068163.0,1696672800,0,120.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 53401}, {'chip_name': 'freehit', 'num_played': 149680}, {'chip_name': 'wildcard', 'num_played': 675746}, {'chip_name': '3xc', 'num_played': 67206}]",355.0,516.0,216.0,"{'id': 216, 'points': 16}",19444885,355.0,355.0
9,Gameweek 9,2023-10-21T10:00:00Z,67,True,True,6931177.0,1697882400,0,152.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 50175}, {'chip_name': 'freehit', 'num_played': 67685}, {'chip_name': 'wildcard', 'num_played': 328588}, {'chip_name': '3xc', 'num_played': 56575}]",355.0,60.0,423.0,"{'id': 423, 'points': 17}",11431916,355.0,308.0
10,Gameweek 10,2023-10-27T17:30:00Z,66,True,True,9895223.0,1698427800,0,134.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 80903}, {'chip_name': 'freehit', 'num_played': 70004}, {'chip_name': 'wildcard', 'num_played': 328730}, {'chip_name': '3xc', 'num_played': 93361}]",355.0,60.0,13.0,"{'id': 13, 'points': 17}",12428517,355.0,355.0
11,Gameweek 11,2023-11-04T11:00:00Z,32,True,True,3242487.0,1699095600,0,107.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 61985}, {'chip_name': 'freehit', 'num_played': 64253}, {'chip_name': 'wildcard', 'num_played': 151598}, {'chip_name': '3xc', 'num_played': 201152}]",355.0,311.0,678.0,"{'id': 678, 'points': 22}",10003311,355.0,308.0
12,Gameweek 12,2023-11-11T11:00:00Z,64,True,True,299796.0,1699700400,0,129.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 60433}, {'chip_name': 'freehit', 'num_played': 96817}, {'chip_name': 'wildcard', 'num_played': 171986}, {'chip_name': '3xc', 'num_played': 38010}]",355.0,526.0,308.0,"{'id': 308, 'points': 16}",11701013,355.0,355.0
13,Gameweek 13,2023-11-25T11:00:00Z,46,True,True,10279974.0,1700910000,0,106.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 38925}, {'chip_name': 'freehit', 'num_played': 118718}, {'chip_name': 'wildcard', 'num_played': 205825}, {'chip_name': '3xc', 'num_played': 26590}]",355.0,362.0,86.0,"{'id': 86, 'points': 16}",11743909,355.0,308.0
14,Gameweek 14,2023-12-02T13:30:00Z,54,True,True,2753264.0,1701523800,0,114.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 51415}, {'chip_name': 'freehit', 'num_played': 48813}, {'chip_name': 'wildcard', 'num_played': 111826}, {'chip_name': '3xc', 'num_played': 50674}]",355.0,108.0,109.0,"{'id': 109, 'points': 14}",9478613,355.0,355.0
15,Gameweek 15,2023-12-05T18:00:00Z,35,True,True,6195999.0,1701799200,0,105.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 44960}, {'chip_name': 'freehit', 'num_played': 32260}, {'chip_name': 'wildcard', 'num_played': 62439}, {'chip_name': '3xc', 'num_played': 58201}]",355.0,412.0,267.0,"{'id': 267, 'points': 15}",6838182,355.0,355.0
16,Gameweek 16,2023-12-09T11:00:00Z,40,True,True,5303151.0,1702119600,0,112.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 41381}, {'chip_name': 'freehit', 'num_played': 47661}, {'chip_name': 'wildcard', 'num_played': 80992}, {'chip_name': '3xc', 'num_played': 108953}]",355.0,362.0,516.0,"{'id': 516, 'points': 17}",8652679,355.0,308.0
17,Gameweek 17,2023-12-15T18:30:00Z,44,True,True,4870645.0,1702665000,0,124.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 34952}, {'chip_name': 'freehit', 'num_played': 144248}, {'chip_name': 'wildcard', 'num_played': 174604}, {'chip_name': '3xc', 'num_played': 80633}]",355.0,85.0,689.0,"{'id': 689, 'points': 16}",12222607,355.0,308.0
18,Gameweek 18,2023-12-21T18:30:00Z,36,True,True,8853925.0,1703183400,0,101.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 25638}, {'chip_name': 'freehit', 'num_played': 147866}, {'chip_name': 'wildcard', 'num_played': 109418}, {'chip_name': '3xc', 'num_played': 36895}]",355.0,60.0,85.0,"{'id': 85, 'points': 17}",9551699,355.0,308.0
19,Gameweek 19,2023-12-26T11:00:00Z,38,True,True,237211.0,1703588400,0,105.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 40614}, {'chip_name': 'freehit', 'num_played': 47170}, {'chip_name': 'wildcard', 'num_played': 104145}, {'chip_name': '3xc', 'num_played': 38105}]",355.0,85.0,468.0,"{'id': 468, 'points': 17}",7268356,308.0,516.0
20,Gameweek 20,2023-12-30T11:00:00Z,59,True,True,351854.0,1703934000,0,134.0,False,False,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 78077}, {'chip_name': 'freehit', 'num_played': 48514}, {'chip_name': 'wildcard', 'num_played': 207197}, {'chip_name': '3xc', 'num_played': 38901}]",19.0,343.0,362.0,"{'id': 362, 'points': 18}",9018331,355.0,308.0
21,Gameweek 21,2024-01-12T18:15:00Z,47,True,True,6974406.0,1705083300,0,138.0,True,False,False,True,True,10526259,"[{'chip_name': 'bboost', 'num_played': 30370}, {'chip_name': 'freehit', 'num_played': 125692}, {'chip_name': 'wildcard', 'num_played': 947506}, {'chip_name': '3xc', 'num_played': 22782}]",19.0,353.0,294.0,"{'id': 294, 'points': 19}",21743109,355.0,19.0
22,Gameweek 22,2024-01-30T18:00:00Z,0,False,False,,1706637600,0,,False,True,False,True,True,0,"[{'chip_name': 'bboost', 'num_played': 63489}, {'chip_name': 'freehit', 'num_played': 38976}, {'chip_name': 'wildcard', 'num_played': 317028}, {'chip_name': '3xc', 'num_played': 32537}]",19.0,349.0,314.0,"{'id': 314, 'points': 5}",10103114,355.0,19.0
23,Gameweek 23,2024-02-03T11:00:00Z,0,False,False,,1706958000,0,,False,False,True,False,False,0,[],,,,,0,,
24,Gameweek 24,2024-02-10T11:00:00Z,0,False,False,,1707562800,0,,False,False,False,False,False,0,[],,,,,0,,
25,Gameweek 25,2024-02-17T11:00:00Z,0,False,False,,1708167600,0,,False,False,False,False,False,0,[],,,,,0,,
26,Gameweek 26,2024-02-24T13:30:00Z,0,False,False,,1708781400,0,,False,False,False,False,False,0,[],,,,,0,,
27,Gameweek 27,2024-03-02T13:30:00Z,0,False,False,,1709386200,0,,False,False,False,False,False,0,[],,,,,0,,
28,Gameweek 28,2024-03-09T13:30:00Z,0,False,False,,1709991000,0,,False,False,False,False,False,0,[],,,,,0,,
29,Gameweek 29,2024-03-16T13:30:00Z,0,False,False,,1710595800,0,,False,False,False,False,False,0,[],,,,,0,,
30,Gameweek 30,2024-03-30T13:30:00Z,0,False,False,,1711805400,0,,False,False,False,False,False,0,[],,,,,0,,
31,Gameweek 31,2024-04-02T17:15:00Z,0,False,False,,1712078100,0,,False,False,False,False,False,0,[],,,,,0,,
32,Gameweek 32,2024-04-06T12:30:00Z,0,False,False,,1712406600,0,,False,False,False,False,False,0,[],,,,,0,,
33,Gameweek 33,2024-04-13T12:30:00Z,0,False,False,,1713011400,0,,False,False,False,False,False,0,[],,,,,0,,
34,Gameweek 34,2024-04-20T12:30:00Z,0,False,False,,1713616200,0,,False,False,False,False,False,0,[],,,,,0,,
35,Gameweek 35,2024-04-27T12:30:00Z,0,False,False,,1714221000,0,,False,False,False,False,False,0,[],,,,,0,,
36,Gameweek 36,2024-05-04T12:30:00Z,0,False,False,,1714825800,0,,False,False,False,False,False,0,[],,,,,0,,
37,Gameweek 37,2024-05-11T12:30:00Z,0,False,False,,1715430600,0,,False,False,False,False,False,0,[],,,,,0,,
38,Gameweek 38,2024-05-19T13:30:00Z,0,False,False,,1716125400,0,,False,False,False,False,False,0,[],,,,,0,,
